date,t_avg,rr_avg
Oktober-2022,27.8,0
Oktober-2022,27.1,51.1
Oktober-2022,28.3,0.8
Oktober-2022,26.2,6.2
Oktober-2022,27,69.4
Oktober-2022,25.9,37.6
Oktober-2022,27,4.6
Oktober-2022,24.4,6
Oktober-2022,25.3,0.8
Oktober-2022,26.6,8.1
Oktober-2022,24.8,0.2
Oktober-2022,27.1,8
Oktober-2022,26.5,12.6
Oktober-2022,26.9,0.2
Oktober-2022,27.2,6.4
Oktober-2022,25.8,0.2
Oktober-2022,27.3,24
Oktober-2022,27.3,6.2
Oktober-2022,27.6,10.5
Oktober-2022,26.6,0
Oktober-2022,27.6,54.3
Oktober-2022,26.6,0
Oktober-2022,26.6,6.2
Oktober-2022,26.5,0
Oktober-2022,26.4,26.2
Oktober-2022,27,12.4
Oktober-2022,27.6,0
Oktober-2022,27.5,0
Oktober-2022,28.2,1
Oktober-2022,27,8.1
Oktober-2022,25.4,21.5
Oktober-2023,29.2,0
Oktober-2023,29.9,0
Oktober-2023,29.5,0
Oktober-2023,29.5,0
Oktober-2023,30.1,0
Oktober-2023,29.5,0
Oktober-2023,29.7,0
Oktober-2023,29.6,0
Oktober-2023,28.7,0
Oktober-2023,28.7,0
Oktober-2023,30.1,0
Oktober-2023,28.7,0
Oktober-2023,29,0
Oktober-2023,29.5,0
Oktober-2023,29.9,0
Oktober-2023,30,0
Oktober-2023,29.1,0
Oktober-2023,28.7,0
Oktober-2023,28.4,35.5
Oktober-2023,27.3,0
Oktober-2023,28.5,4.6
Oktober-2023,28.6,0
Oktober-2023,28.9,0
Oktober-2023,29,0
Oktober-2023,28.6,0
Oktober-2023,27.9,0
Oktober-2023,29.5,0.5
Oktober-2023,27,0
Oktober-2023,28.7,8.3
Oktober-2023,29,0
Oktober-2023,27.3,0
