Tanggal,tgl,PM2_5,Value
1,1,38.66,91.68
2,2,38.66,91.68
3,3,45.5,100.25
4,4,47.35,102.57
5,5,51.33,107.56
6,6,49.62,105.41
7,7,53.55,110.34
8,8,39.67,92.94
9,9,54.02,110.93
10,10,173.29,222.89
11,11,43.41,97.63
12,12,90.2,141.89
13,13,68.29,118.83
14,14,66.6,117.05
15,15,72.76,123.54
16,16,73.24,124.04
17,17,52.26,108.72
18,18,67.77,118.28
19,19,207.56,257.16
20,20,111.16,163.96
21,21,124.91,178.43
22,22,60.73,110.87
23,23,55.22,112.43
24,24,177.38,226.98
25,25,250.25,299.85
26,26,74.74,125.62
27,27,87.52,139.07
28,28,49.55,105.33
29,29,67.4,117.89
30,30,74.29,125.15
31,31,81.29,132.52
